GR,NPHI,RHOB,SW,VSH,PHI,LFC
91.5983,0.4117,2.256416,1,0.490442355188833,0.288106924765204,4
94.3741,0.4241,2.259464,1,0.521933969488599,0.288434872954706,4
94.2315,0.4307,2.26531499999997,1,0.520316164099469,0.284762159934547,4
92.6377,0.4179,2.27889500000001,1,0.502234409336529,0.275222019579148,4
92.4617,0.4056,2.28622000000001,1,0.500237678982484,0.270614474108252,4
92.6755,0.4138,2.28610200000001,1,0.502663252560296,0.270858964558966,4
96.884,0.4162,2.27636800000003,1,0.55040893264552,0.28014508467716,4
96.7039,0.4293,2.263375,1,0.548365687550273,0.287887615132408,4
99.7031,0.4224,2.25799500000001,1,0.582391787992617,0.293487035742929,4
96.436,0.4463,2.255,1,0.545326346289769,0.292761612882333,4
94.0508,0.4262,2.254104,1,0.518266111968924,0.291443178364912,4
90.4815,0.3969,2.25785499999999,1,0.477772193487709,0.286345685852539,4
89.3341,0.3771,2.2642425,1,0.464754872986394,0.281527974361036,4
88.8499,0.391,2.26825200000002,1,0.459261595501004,0.278686814799094,4
86.8039,0.4082,2.28272,1,0.436049605135227,0.268165747372579,4
86.138,0.4057,2.289732,1,0.428494930460462,0.263316919522128,4
86.8705,0.4112,2.2792035,1,0.436805186053292,0.270377538467523,4
87.9711,0.4093,2.260309,1,0.449291557801373,0.282849087257902,4
86.831,0.4221,2.23488000000001,1,0.436357056229515,0.29754082244505,4
89.1146,0.4243,2.224164,1,0.462264632573252,0.305881187470378,4
87.9305,0.4231,2.23221350000002,1,0.448830948412883,0.300034051833064,4
89.1956,0.3995,2.25089899999998,1,0.463183582338466,0.289583048076516,4
88.1013,0.3855,2.27341599999999,1,0.450768684461013,0.274922289800876,4
88.3197,0.4017,2.27787999999996,1,0.453246445309442,0.272363944182415,4
91.8008,0.4225,2.26117,1,0.492739729601868,0.285365762165617,4
91.6248,0.4324,2.24714600000001,1,0.490742999247822,0.293785372747731,4
96.0881,0.4336,2.25008049999999,1,0.54137940032288,0.295478007081106,4
92.1372,0.4266,2.26783200000001,1,0.496556207392213,0.281568377608739,4
90.9255,0.4321,2.2789235,1,0.482809399608142,0.273828761504681,4
89.3201,0.425,2.26814899999997,1,0.464596042162777,0.279126534264712,4
90.0203,0.4279,2.251497,1,0.472539852355405,0.289867649835832,4
91.6612,0.4332,2.24174,1,0.491155959389227,0.297113037967123,4
92.4772,0.4331,2.236072,1,0.500413527394346,0.301203802084969,4
93.4056,0.4255,2.2337485,1,0.510946280011935,0.303336365874466,4
90.7311,0.4053,2.23629999999995,1,0.480603920171628,0.29971142897305,4
87.2954,0.4141,2.251014,1,0.441625701550075,0.288009811928597,4
85.5143,0.4151,2.258352,1,0.421419017268314,0.282086404305748,4
85.2641,0.4108,2.24345499999998,1,0.418580483549097,0.291042268715595,4
89.665,0.41,2.227879,1,0.468508952953176,0.304033124329289,4
91.6857,0.4332,2.22829,1,0.491433913330557,0.305340193550456,4
95.642,0.4445,2.22948799999998,1,0.536318369578905,0.30764344013869,4
94.3688,0.4488,2.21681750000002,1,0.521873840676801,0.314379295906921,4
93.3062,0.4254,2.20506500000001,1,0.509818581164253,0.320732993973735,4
90.2965,0.4219,2.20244600000001,1,0.475673357604196,0.320065558828973,4
93.1687,0.4137,2.21158399999999,1,0.508258635575155,0.316657899841801,4
